S(t),I(t),R(t),mortes,tempo(t)
0.0000,57.7926,392.2071,7.8441,185.5
0.0000,57.4643,392.5354,7.8507,186.0
0.0000,57.1378,392.8619,7.8572,186.5
0.0000,56.8131,393.1866,7.8637,187.0
0.0000,56.4903,393.5094,7.8702,187.5
0.0000,56.1693,393.8304,7.8766,188.0
0.0000,55.8502,394.1495,7.8830,188.5
0.0000,55.5329,394.4668,7.8893,189.0
0.0000,55.2173,394.7823,7.8956,189.5
0.0000,54.9036,395.0961,7.9019,190.0
0.0000,54.5917,395.4080,7.9082,190.5
0.0000,54.2815,395.7182,7.9144,191.0
0.0000,53.9731,396.0266,7.9205,191.5
0.0000,53.6664,396.3333,7.9267,192.0
0.0000,53.3615,396.6382,7.9328,192.5
0.0000,53.0583,396.9414,7.9388,193.0
0.0000,52.7568,397.2429,7.9449,193.5
0.0000,52.4571,397.5426,7.9509,194.0
0.0000,52.1590,397.8407,7.9568,194.5
0.0000,51.8627,398.1370,7.9627,195.0
0.0000,51.5680,398.4317,7.9686,195.5
0.0000,51.2750,398.7247,7.9745,196.0
0.0000,50.9836,399.0160,7.9803,196.5
0.0000,50.6940,399.3057,7.9861,197.0
0.0000,50.4059,399.5937,7.9919,197.5
0.0000,50.1195,399.8801,7.9976,198.0
0.0000,49.8348,400.1649,8.0033,198.5
0.0000,49.5516,400.4480,8.0090,199.0
0.0000,49.2701,400.7296,8.0146,199.5
0.0000,48.9901,401.0095,8.0202,200.0
0.0000,48.7118,401.2879,8.0258,200.5
0.0000,48.4350,401.5646,8.0313,201.0
0.0000,48.1598,401.8398,8.0368,201.5
0.0000,47.8862,402.1135,8.0423,202.0
0.0000,47.6141,402.3856,8.0477,202.5
0.0000,47.3435,402.6561,8.0531,203.0
0.0000,47.0746,402.9251,8.0585,203.5
0.0000,46.8071,403.1926,8.0639,204.0
0.0000,46.5411,403.4585,8.0692,204.5
0.0000,46.2767,403.7230,8.0745,205.0
0.0000,46.0138,403.9859,8.0797,205.5
0.0000,45.7523,404.2473,8.0849,206.0
0.0000,45.4924,404.5073,8.0901,206.5
0.0000,45.2339,404.7658,8.0953,207.0
0.0000,44.9769,405.0228,8.1005,207.5
0.0000,44.7213,405.2784,8.1056,208.0
0.0000,44.4672,405.5324,8.1106,208.5
0.0000,44.2146,405.7851,8.1157,209.0
0.0000,43.9633,406.0363,8.1207,209.5
0.0000,43.7136,406.2861,8.1257,210.0
0.0000,43.4652,406.5345,8.1307,210.5
0.0000,43.2182,406.7814,8.1356,211.0
0.0000,42.9727,407.0270,8.1405,211.5
0.0000,42.7285,407.2711,8.1454,212.0
0.0000,42.4857,407.5139,8.1503,212.5
0.0000,42.2443,407.7553,8.1551,213.0
0.0000,42.0043,407.9953,8.1599,213.5
0.0000,41.7656,408.2340,8.1647,214.0
0.0000,41.5283,408.4713,8.1694,214.5
0.0000,41.2924,408.7072,8.1741,215.0
0.0000,41.0578,408.9419,8.1788,215.5
0.0000,40.8245,409.1751,8.1835,216.0
0.0000,40.5925,409.4071,8.1881,216.5
0.0000,40.3619,409.6378,8.1928,217.0
0.0000,40.1326,409.8671,8.1973,217.5
0.0000,39.9045,410.0951,8.2019,218.0
0.0000,39.6778,410.3218,8.2064,218.5
0.0000,39.4524,410.5473,8.2109,219.0
0.0000,39.2282,410.7714,8.2154,219.5
0.0000,39.0053,410.9943,8.2199,220.0
0.0000,38.7837,411.2159,8.2243,220.5
0.0000,38.5633,411.4363,8.2287,221.0
0.0000,38.3442,411.6554,8.2331,221.5
0.0000,38.1264,411.8733,8.2375,222.0
0.0000,37.9097,412.0899,8.2418,222.5
0.0000,37.6943,412.3053,8.2461,223.0
0.0000,37.4802,412.5195,8.2504,223.5
0.0000,37.2672,412.7324,8.2546,224.0
0.0000,37.0555,412.9442,8.2589,224.5
0.0000,36.8449,413.1547,8.2631,225.0
0.0000,36.6356,413.3640,8.2673,225.5
0.0000,36.4274,413.5722,8.2714,226.0
0.0000,36.2204,413.7792,8.2756,226.5
0.0000,36.0146,413.9850,8.2797,227.0
0.0000,35.8100,414.1896,8.2838,227.5
0.0000,35.6065,414.3931,8.2879,228.0
0.0000,35.4042,414.5954,8.2919,228.5
0.0000,35.2031,414.7965,8.2959,229.0
0.0000,35.0031,414.9966,8.2999,229.5
0.0000,34.8042,415.1954,8.3039,230.0
0.0000,34.6064,415.3932,8.3079,230.5
0.0000,34.4098,415.5898,8.3118,231.0
0.0000,34.2143,415.7853,8.3157,231.5
0.0000,34.0199,415.9797,8.3196,232.0
0.0000,33.8266,416.1730,8.3235,232.5
0.0000,33.6344,416.3652,8.3273,233.0
0.0000,33.4433,416.5563,8.3311,233.5
0.0000,33.2533,416.7463,8.3349,234.0
0.0000,33.0643,416.9353,8.3387,234.5
0.0000,32.8765,417.1231,8.3425,235.0
0.0000,32.6897,417.3099,8.3462,235.5
0.0000,32.5039,417.4957,8.3499,236.0
0.0000,32.3193,417.6804,8.3536,236.5
0.0000,32.1356,417.8640,8.3573,237.0
0.0000,31.9530,418.0466,8.3609,237.5
0.0000,31.7715,418.2281,8.3646,238.0
0.0000,31.5910,418.4086,8.3682,238.5
0.0000,31.4115,418.5881,8.3718,239.0
0.0000,31.2330,418.7666,8.3753,239.5
0.0000,31.0555,418.9441,8.3789,240.0
0.0000,30.8791,419.1205,8.3824,240.5
0.0000,30.7036,419.2960,8.3859,241.0
0.0000,30.5292,419.4704,8.3894,241.5
0.0000,30.3557,419.6439,8.3929,242.0
0.0000,30.1832,419.8163,8.3963,242.5
0.0000,30.0117,419.9879,8.3998,243.0
0.0000,29.8412,420.1584,8.4032,243.5
0.0000,29.6717,420.3279,8.4066,244.0
0.0000,29.5031,420.4965,8.4099,244.5
0.0000,29.3355,420.6642,8.4133,245.0
0.0000,29.1688,420.8308,8.4166,245.5
0.0000,29.0030,420.9966,8.4199,246.0
0.0000,28.8383,421.1614,8.4232,246.5
0.0000,28.6744,421.3252,8.4265,247.0
0.0000,28.5115,421.4882,8.4298,247.5
0.0000,28.3495,421.6501,8.4330,248.0
0.0000,28.1884,421.8112,8.4362,248.5
0.0000,28.0282,421.9714,8.4394,249.0
0.0000,27.8690,422.1306,8.4426,249.5
0.0000,27.7106,422.2890,8.4458,250.0
0.0000,27.5532,422.4464,8.4489,250.5
0.0000,27.3966,422.6030,8.4521,251.0
0.0000,27.2410,422.7586,8.4552,251.5
0.0000,27.0862,422.9134,8.4583,252.0
0.0000,26.9323,423.0673,8.4613,252.5
0.0000,26.7793,423.2203,8.4644,253.0
0.0000,26.6271,423.3725,8.4675,253.5
0.0000,26.4758,423.5238,8.4705,254.0
0.0000,26.3254,423.6742,8.4735,254.5
0.0000,26.1758,423.8238,8.4765,255.0
0.0000,26.0271,423.9725,8.4794,255.5
0.0000,25.8792,424.1204,8.4824,256.0
0.0000,25.7322,424.2674,8.4853,256.5
0.0000,25.5860,424.4136,8.4883,257.0
0.0000,25.4406,424.5590,8.4912,257.5
0.0000,25.2961,424.7036,8.4941,258.0
0.0000,25.1523,424.8473,8.4969,258.5
0.0000,25.0094,424.9902,8.4998,259.0
0.0000,24.8673,425.1323,8.5026,259.5
0.0000,24.7260,425.2736,8.5055,260.0
0.0000,24.5855,425.4141,8.5083,260.5
0.0000,24.4458,425.5538,8.5111,261.0
0.0000,24.3069,425.6927,8.5139,261.5
0.0000,24.1688,425.8308,8.5166,262.0
0.0000,24.0315,425.9681,8.5194,262.5
0.0000,23.8950,426.1046,8.5221,263.0
0.0000,23.7592,426.2404,8.5248,263.5
0.0000,23.6242,426.3754,8.5275,264.0
0.0000,23.4900,426.5096,8.5302,264.5
0.0000,23.3565,426.6431,8.5329,265.0
0.0000,23.2238,426.7758,8.5355,265.5
0.0000,23.0919,426.9078,8.5382,266.0
0.0000,22.9607,427.0390,8.5408,266.5
0.0000,22.8302,427.1694,8.5434,267.0
0.0000,22.7005,427.2992,8.5460,267.5
0.0000,22.5715,427.4281,8.5486,268.0
0.0000,22.4432,427.5564,8.5511,268.5
0.0000,22.3157,427.6839,8.5537,269.0
0.0000,22.1889,427.8107,8.5562,269.5
0.0000,22.0629,427.9368,8.5587,270.0
0.0000,21.9375,428.0621,8.5612,270.5
0.0000,21.8129,428.1868,8.5637,271.0
0.0000,21.6889,428.3107,8.5662,271.5
0.0000,21.5657,428.4339,8.5687,272.0
0.0000,21.4432,428.5565,8.5711,272.5
0.0000,21.3213,428.6783,8.5736,273.0
0.0000,21.2002,428.7994,8.5760,273.5
0.0000,21.0797,428.9199,8.5784,274.0
0.0000,20.9600,429.0397,8.5808,274.5
0.0000,20.8409,429.1588,8.5832,275.0
0.0000,20.7224,429.2772,8.5855,275.5
0.0000,20.6047,429.3949,8.5879,276.0
0.0000,20.4876,429.5120,8.5902,276.5
0.0000,20.3712,429.6284,8.5926,277.0
0.0000,20.2555,429.7441,8.5949,277.5
0.0000,20.1404,429.8592,8.5972,278.0
0.0000,20.0260,429.9736,8.5995,278.5
0.0000,19.9122,430.0874,8.6017,279.0
0.0000,19.7990,430.2005,8.6040,279.5
0.0000,19.6865,430.3130,8.6063,280.0
0.0000,19.5747,430.4249,8.6085,280.5
0.0000,19.4635,430.5361,8.6107,281.0
0.0000,19.3529,430.6467,8.6129,281.5
0.0000,19.2429,430.7566,8.6151,282.0
0.0000,19.1336,430.8660,8.6173,282.5
0.0000,19.0249,430.9747,8.6195,283.0
0.0000,18.9168,431.0828,8.6217,283.5
0.0000,18.8093,431.1902,8.6238,284.0
0.0000,18.7024,431.2971,8.6259,284.5
0.0000,18.5962,431.4034,8.6281,285.0
0.0000,18.4905,431.5090,8.6302,285.5
0.0000,18.3854,431.6141,8.6323,286.0
0.0000,18.2810,431.7186,8.6344,286.5
0.0000,18.1771,431.8224,8.6364,287.0
0.0000,18.0738,431.9257,8.6385,287.5
0.0000,17.9711,432.0284,8.6406,288.0
0.0000,17.8690,432.1305,8.6426,288.5
