S(t),I(t),R(t),mortes(t),tempo
50.3075,16.2696,3.4228,0.0685,41.8
50.2257,16.3330,3.4413,0.0688,41.9
50.1437,16.3965,3.4599,0.0692,42.0
50.0614,16.4601,3.4785,0.0696,42.1
49.9790,16.5238,3.4972,0.0699,42.2
49.8965,16.5876,3.5160,0.0703,42.3
49.8137,16.6515,3.5348,0.0707,42.4
49.7307,16.7155,3.5538,0.0711,42.5
49.6476,16.7796,3.5728,0.0715,42.6
49.5643,16.8439,3.5918,0.0718,42.7
49.4808,16.9082,3.6110,0.0722,42.8
49.3972,16.9727,3.6302,0.0726,42.9
49.3133,17.0372,3.6495,0.0730,43.0
49.2293,17.1019,3.6688,0.0734,43.1
49.1451,17.1666,3.6883,0.0738,43.2
49.0607,17.2315,3.7078,0.0742,43.3
48.9762,17.2965,3.7273,0.0745,43.4
48.8915,17.3615,3.7470,0.0749,43.5
48.8066,17.4267,3.7667,0.0753,43.6
48.7216,17.4919,3.7865,0.0757,43.7
48.6363,17.5573,3.8064,0.0761,43.8
48.5509,17.6227,3.8264,0.0765,43.9
48.4654,17.6882,3.8464,0.0769,44.0
48.3797,17.7539,3.8665,0.0773,44.1
48.2938,17.8196,3.8867,0.0777,44.2
48.2077,17.8854,3.9069,0.0781,44.3
48.1215,17.9513,3.9272,0.0785,44.4
48.0351,18.0173,3.9476,0.0790,44.5
47.9486,18.0833,3.9681,0.0794,44.6
47.8619,18.1495,3.9887,0.0798,44.7
47.7750,18.2157,4.0093,0.0802,44.8
47.6880,18.2821,4.0300,0.0806,44.9
47.6008,18.3485,4.0508,0.0810,45.0
47.5134,18.4150,4.0716,0.0814,45.1
47.4259,18.4815,4.0925,0.0819,45.2
47.3383,18.5482,4.1135,0.0823,45.3
47.2505,18.6149,4.1346,0.0827,45.4
47.1625,18.6817,4.1558,0.0831,45.5
47.0744,18.7486,4.1770,0.0835,45.6
46.9862,18.8155,4.1983,0.0840,45.7
46.8978,18.8826,4.2197,0.0844,45.8
46.8092,18.9497,4.2411,0.0848,45.9
46.7205,19.0168,4.2627,0.0853,46.0
46.6316,19.0841,4.2843,0.0857,46.1
46.5427,19.1514,4.3060,0.0861,46.2
46.4535,19.2188,4.3277,0.0866,46.3
46.3642,19.2862,4.3496,0.0870,46.4
46.2748,19.3537,4.3715,0.0874,46.5
46.1853,19.4213,4.3935,0.0879,46.6
46.0956,19.4889,4.4156,0.0883,46.7
46.0057,19.5566,4.4377,0.0888,46.8
45.9158,19.6243,4.4599,0.0892,46.9
45.8257,19.6921,4.4822,0.0896,47.0
45.7354,19.7600,4.5046,0.0901,47.1
45.6450,19.8279,4.5271,0.0905,47.2
45.5545,19.8959,4.5496,0.0910,47.3
45.4639,19.9639,4.5722,0.0914,47.4
45.3731,20.0320,4.5949,0.0919,47.5
45.2822,20.1001,4.6176,0.0924,47.6
45.1912,20.1683,4.6405,0.0928,47.7
45.1001,20.2365,4.6634,0.0933,47.8
45.0088,20.3048,4.6864,0.0937,47.9
44.9174,20.3731,4.7095,0.0942,48.0
44.8259,20.4415,4.7326,0.0947,48.1
44.7343,20.5099,4.7559,0.0951,48.2
44.6425,20.5783,4.7792,0.0956,48.3
44.5507,20.6468,4.8025,0.0961,48.4
44.4587,20.7153,4.8260,0.0965,48.5
44.3666,20.7839,4.8496,0.0970,48.6
44.2744,20.8525,4.8732,0.0975,48.7
44.1821,20.9211,4.8969,0.0979,48.8
44.0896,20.9897,4.9206,0.0984,48.9
43.9971,21.0584,4.9445,0.0989,49.0
43.9044,21.1272,4.9684,0.0994,49.1
43.8117,21.1959,4.9924,0.0998,49.2
43.7188,21.2647,5.0165,0.1003,49.3
43.6258,21.3335,5.0407,0.1008,49.4
43.5328,21.4023,5.0649,0.1013,49.5
43.4396,21.4712,5.0892,0.1018,49.6
43.3463,21.5400,5.1136,0.1023,49.7
43.2530,21.6089,5.1381,0.1028,49.8
43.1595,21.6778,5.1627,0.1033,49.9
43.0659,21.7468,5.1873,0.1037,50.0
42.9723,21.8157,5.2120,0.1042,50.1
42.8785,21.8847,5.2368,0.1047,50.2
42.7847,21.9536,5.2617,0.1052,50.3
42.6908,22.0226,5.2866,0.1057,50.4
42.5967,22.0916,5.3117,0.1062,50.5
42.5026,22.1606,5.3368,0.1067,50.6
42.4085,22.2296,5.3619,0.1072,50.7
42.3142,22.2986,5.3872,0.1077,50.8
42.2198,22.3676,5.4125,0.1083,50.9
42.1254,22.4367,5.4380,0.1088,51.0
42.0309,22.5057,5.4635,0.1093,51.1
